id|name|desc|category|thumbnail
D9C0BD8F-1A834CF8-BF752871-A9B2547D|SVER Footlocker|SVER gear is as battle scarred as it comes, but they flaunt it like a badge of honor. If youre not afraid of getting your boots dirty, SVER invites you to try this footlocker.|Furniture-Footstool|L
DDEDFF9C-A3B145BB-9F8806B2-F6613F76|House Raleigh Ottoman|A cushy velvet ottoman custom made for a noble of House Raleigh.|Furniture-Footstool|L
DEE98DD9-DBEF47C7-ADE8E09F-E14297B8|Animated Blue Neon Footstool|Animated neon furniture - Blue.|Furniture-Footstool|L
DF4E170C-325348BB-937C0F8F-888F59E2|Waterfall Terrace Dark Leather Ottoman|Its the perfect match to your Waterfall Terrace Dark Leather Chair.|Furniture-Footstool|L
E21FA97C-2768436C-ADDD01D4-4C6595F9|Plank Stool|Basic stool.|Furniture-Footstool|L
E8705279-D4634D2D-9A16F1B2-D674F3AC|Footstool Cushion, Border White|Footstool White|Furniture-Footstool|L
EB8FD7EF-FD2B4CB1-8CE08F4A-85F553B3|Las Vegas Suite Ottoman (Bronze)|Decorate your suite with this bronze ottoman.|Furniture-Footstool|L
F5055FF3-36FB432E-847D54B7-DC0BD428|Natural Wood Ottoman|If youre looking for a natural wood coffee table, this isnt it.|Furniture-Footstool|S
F5B2E77A-0B1A4B7D-BFF015D3-EC6EFAEC|Tropical Living Room Ottoman|If only the Ottoman Empire knew how to relax.|Furniture-Footstool|L
FEFE84CB-39464D5A-A29623C6-83C4F48A|Animated Green Neon Footstool|Animated neon furniture - Green.|Furniture-Footstool|L
